Gen,Total_Nodes,S_Nodes,K_Nodes,I_Nodes,App_Nodes,Reduction_Steps,S_Fired,K_Fired,I_Fired,Result
1,14,1,1,1,11,3,0,2,1,1
2,28,1,1,1,25,14,2,8,4,0
3,45,1,1,1,42,42,8,21,13,1
4,69,1,1,1,66,56,10,29,17,1
5,96,1,1,1,93,73,12,38,23,1
6,130,1,1,1,127,95,16,50,29,0
7,167,1,1,1,164,161,29,84,48,0
8,211,1,1,1,208,230,42,118,70,1
9,258,1,1,1,255,251,45,131,75,1
10,312,1,1,1,309,284,51,149,84,0
11,369,1,1,1,366,358,63,188,107,0
12,433,1,1,1,430,403,71,212,120,0
13,500,1,1,1,497,445,77,235,133,1
14,574,1,1,1,571,490,85,259,146,0
15,651,1,1,1,648,549,95,290,164,1
16,735,1,1,1,732,602,105,318,179,1
17,822,1,1,1,819,656,115,347,194,0
18,916,1,1,1,913,940,169,497,274,0
19,1013,1,1,1,1010,1002,177,530,295,1
20,1117,1,1,1,1114,1072,191,566,315,0
21,1224,1,1,1,1221,1142,203,605,334,0
22,1338,1,1,1,1335,1421,256,754,411,1
23,1455,1,1,1,1452,1488,266,789,433,1
24,1579,1,1,1,1576,1570,282,831,457,1
25,1706,1,1,1,1703,1645,296,872,477,0
26,1840,1,1,1,1837,1801,326,956,519,1
27,1977,1,1,1,1974,1882,340,999,543,0
28,2121,1,1,1,2118,2010,362,1067,581,1
29,2268,1,1,1,2265,2093,376,1112,605,1
30,2422,1,1,1,2419,2183,392,1160,631,1
31,2579,1,1,1,2576,2275,408,1209,658,0
32,2743,1,1,1,2740,2709,491,1438,780,0
33,2910,1,1,1,2907,2810,507,1493,810,1
34,3084,1,1,1,3081,2906,523,1545,838,1
35,3261,1,1,1,3258,3012,541,1600,871,1
36,3445,1,1,1,3442,3120,561,1658,901,0
37,3632,1,1,1,3629,3537,643,1881,1013,1
38,3826,1,1,1,3823,3648,663,1941,1044,0
39,4023,1,1,1,4020,3805,689,2024,1092,1
40,4227,1,1,1,4224,3930,713,2090,1127,0
41,4434,1,1,1,4431,4062,737,2161,1164,1
42,4648,1,1,1,4645,4189,761,2229,1199,1
43,4865,1,1,1,4862,4314,783,2296,1235,0
44,5089,1,1,1,5086,4822,870,2565,1387,0
45,5316,1,1,1,5313,4968,896,2642,1430,0
46,5550,1,1,1,5547,5104,920,2716,1468,0
47,5787,1,1,1,5784,5251,946,2793,1512,1
48,6031,1,1,1,6028,5398,974,2871,1553,1
49,6278,1,1,1,6275,5535,998,2946,1591,0
50,6532,1,1,1,6529,6350,1146,3382,1822,0
51,6789,1,1,1,6786,6496,1168,3459,1869,1
52,7053,1,1,1,7050,6653,1196,3541,1916,0
53,7320,1,1,1,7317,6815,1224,3628,1963,1
54,7594,1,1,1,7591,6963,1248,3708,2007,0
55,7871,1,1,1,7868,7518,1342,4003,2173,1
56,8155,1,1,1,8152,7677,1368,4087,2222,1
57,8442,1,1,1,8439,7857,1402,4180,2275,0
58,8736,1,1,1,8733,8078,1442,4300,2336,1
59,9033,1,1,1,9030,8249,1472,4391,2386,0
60,9337,1,1,1,9334,8441,1506,4493,2442,1
61,9644,1,1,1,9641,8618,1538,4588,2492,0
62,9958,1,1,1,9955,9950,1789,5295,2866,1
63,10275,1,1,1,10272,10134,1821,5392,2921,1
64,10599,1,1,1,10596,10327,1857,5494,2976,1
65,10926,1,1,1,10923,10514,1891,5595,3028,1
66,11260,1,1,1,11257,10698,1923,5695,3080,1
67,11597,1,1,1,11594,10889,1955,5796,3138,1
68,11941,1,1,1,11938,11098,1995,5906,3197,0
69,12288,1,1,1,12285,11832,2115,6297,3420,0
70,12642,1,1,1,12639,12034,2149,6407,3478,0
71,12999,1,1,1,12996,12253,2189,6522,3542,0
72,13363,1,1,1,13360,12468,2229,6638,3601,1
73,13730,1,1,1,13727,12678,2267,6751,3660,1
74,14104,1,1,1,14101,12896,2307,6867,3722,1
75,14481,1,1,1,14478,13106,2343,6980,3783,1
76,14865,1,1,1,14862,13338,2387,7102,3849,0
77,15252,1,1,1,15249,13789,2469,7345,3975,0
78,15646,1,1,1,15643,14015,2507,7467,4041,0
79,16043,1,1,1,16040,14244,2545,7588,4111,1
80,16447,1,1,1,16444,14484,2589,7714,4181,0
81,16854,1,1,1,16851,14738,2637,7849,4252,1
82,17268,1,1,1,17265,14964,2677,7973,4314,0
83,17685,1,1,1,17682,18028,3242,9605,5181,1
84,18109,1,1,1,18106,18280,3288,9737,5255,1
85,18536,1,1,1,18533,18529,3334,9870,5325,1
86,18970,1,1,1,18967,18762,3374,9998,5390,0
87,19407,1,1,1,19404,19051,3424,10151,5476,0
88,19851,1,1,1,19848,19502,3506,10389,5607,0
89,20298,1,1,1,20295,19778,3556,10536,5686,0
90,20752,1,1,1,20749,20040,3604,10678,5758,0
91,21209,1,1,1,21206,20298,3648,10817,5833,1
92,21673,1,1,1,21670,20567,3696,10959,5912,0
93,22140,1,1,1,22137,20846,3746,11108,5992,0
94,22614,1,1,1,22611,21991,3948,11720,6323,1
95,23091,1,1,1,23088,22274,4000,11869,6405,0
96,23575,1,1,1,23572,22574,4054,12029,6491,1
97,24062,1,1,1,24059,22852,4104,12178,6570,1
98,24556,1,1,1,24553,23126,4152,12326,6648,0
99,25053,1,1,1,25050,25297,4546,13483,7268,0
100,25557,1,1,1,25554,25612,4604,13647,7361,0
