side,seed,family,nodes,edges,connected,mean_deg,max_deg,diam,mean_path_len,gromov_delta_max,delta_over_diam,lambda2_norm,moves_add,moves_rm,build_secs,note
15,34,flat,225,420,1,3.7333,4,28,10.0,9.0,0.3214,0.01210832,-1,-1,2.09,
15,34,curved,225,420,1,3.7333,91,7,3.2967,1.0,0.1429,0.12001283,199,199,2.09,
15,34,localrand,225,420,1,3.7333,9,19,8.1962,4.0,0.2105,0.00809838,147,147,2.09,
15,39,flat,225,420,1,3.7333,4,28,10.0,10.0,0.3571,0.01210832,-1,-1,2.11,
15,39,curved,225,421,1,3.7422,88,7,3.1858,1.0,0.1429,0.13360332,193,192,2.11,
15,39,localrand,225,420,1,3.7333,9,19,8.3728,3.5,0.1842,0.00607338,160,160,2.11,
15,30,flat,225,420,1,3.7333,4,28,10.0,11.0,0.3929,0.01210832,-1,-1,2.23,
15,30,curved,225,421,1,3.7422,110,7,3.0908,1.0,0.1429,0.11719496,202,201,2.23,
15,30,localrand,225,420,1,3.7333,8,20,8.1534,4.5,0.225,0.00914917,161,161,2.23,
15,33,flat,225,420,1,3.7333,4,28,10.0,11.0,0.3929,0.01210832,-1,-1,2.27,
15,33,curved,225,420,1,3.7333,54,8,3.6242,1.5,0.1875,0.10458887,200,200,2.27,
15,33,localrand,225,420,1,3.7333,9,19,8.2109,4.0,0.2105,0.00725453,171,171,2.27,
15,32,flat,225,420,1,3.7333,4,28,10.0,9.0,0.3214,0.01210832,-1,-1,2.27,
15,32,curved,225,420,1,3.7333,58,9,3.7402,1.5,0.1667,0.11760754,200,200,2.27,
15,32,localrand,225,420,1,3.7333,8,19,7.9031,4.0,0.2105,0.00987491,166,166,2.27,
15,36,flat,225,420,1,3.7333,4,28,10.0,12.0,0.4286,0.01210832,-1,-1,2.33,
15,36,curved,225,420,1,3.7333,101,7,3.1879,1.0,0.1429,0.13025459,201,201,2.33,
15,36,localrand,225,420,1,3.7333,9,20,8.352,5.0,0.25,0.00898789,163,163,2.33,
15,35,flat,225,420,1,3.7333,4,28,10.0,10.0,0.3571,0.01210832,-1,-1,2.89,
15,35,curved,225,421,1,3.7422,118,7,3.0689,1.0,0.1429,0.12936908,207,206,2.89,
15,35,localrand,225,420,1,3.7333,9,19,7.9492,4.0,0.2105,0.00761388,179,179,2.89,
15,40,flat,225,420,1,3.7333,4,28,10.0,9.0,0.3214,0.01210832,-1,-1,3.13,
15,40,curved,225,421,1,3.7422,58,9,3.8408,1.0,0.1111,0.05821095,207,206,3.13,
15,40,localrand,225,420,1,3.7333,8,20,7.9126,4.0,0.2,0.01034368,167,167,3.13,
15,41,flat,225,420,1,3.7333,4,28,10.0,10.0,0.3571,0.01210832,-1,-1,3.36,
15,41,curved,225,420,1,3.7333,122,6,2.9434,1.0,0.1667,0.12920129,204,204,3.36,
15,41,localrand,225,420,1,3.7333,9,19,8.5591,6.0,0.3158,0.0070716,160,160,3.36,
15,38,flat,225,420,1,3.7333,4,28,10.0,8.0,0.2857,0.01210832,-1,-1,3.12,
15,38,curved,225,421,1,3.7422,84,8,3.3161,1.0,0.125,0.1151536,191,190,3.12,
15,38,localrand,225,420,1,3.7333,8,21,8.3582,4.5,0.2143,0.00847778,159,159,3.12,
15,37,flat,225,420,1,3.7333,4,28,10.0,10.0,0.3571,0.01210832,-1,-1,4.47,
15,37,curved,225,420,1,3.7333,115,6,3.0408,1.0,0.1667,0.12158305,206,206,4.47,
15,37,localrand,225,420,1,3.7333,9,19,7.9573,4.0,0.2105,0.00883501,166,166,4.47,
15,31,flat,225,420,1,3.7333,4,28,10.0,9.0,0.3214,0.01210832,-1,-1,4.71,
15,31,curved,225,420,1,3.7333,91,8,3.3808,1.0,0.125,0.0943329,204,204,4.71,
15,31,localrand,225,420,1,3.7333,8,21,7.8915,4.5,0.2143,0.00841027,154,154,4.71,
22,30,flat,484,924,1,3.8182,4,42,14.6667,14.0,0.3333,0.00545551,-1,-1,9.18,
22,30,curved,484,924,1,3.8182,127,8,3.7089,1.0,0.125,0.0874065,400,400,9.18,
22,30,localrand,484,924,1,3.8182,8,31,11.6556,7.5,0.2419,0.0040148,352,352,9.18,
22,34,flat,484,924,1,3.8182,4,42,14.6667,14.0,0.3333,0.00545551,-1,-1,9.34,
22,34,curved,484,926,1,3.8264,171,9,3.5,1.0,0.1111,0.07486906,421,419,9.34,
22,34,localrand,484,925,1,3.8223,9,30,11.6625,8.0,0.2667,0.0037218,331,330,9.34,
22,39,flat,484,924,1,3.8182,4,42,14.6667,14.0,0.3333,0.00545551,-1,-1,9.79,
22,39,curved,484,926,1,3.8264,104,10,3.9043,1.0,0.1,0.06780055,408,406,9.79,
22,39,localrand,484,924,1,3.8182,9,28,11.0867,6.5,0.2321,0.00444822,347,347,9.79,
22,35,flat,484,924,1,3.8182,4,42,14.6667,13.0,0.3095,0.00545551,-1,-1,10.2,
22,35,curved,484,924,1,3.8182,87,11,4.2324,2.0,0.1818,0.05233391,409,409,10.2,
22,35,localrand,484,926,1,3.8264,8,29,11.3646,7.0,0.2414,0.00423146,349,347,10.2,
22,36,flat,484,924,1,3.8182,4,42,14.6667,14.0,0.3333,0.00545551,-1,-1,10.45,
22,36,curved,484,926,1,3.8264,92,10,4.0001,1.5,0.15,0.07108874,404,402,10.45,
22,36,localrand,484,924,1,3.8182,10,27,11.2077,6.0,0.2222,0.0043051,361,361,10.45,
22,32,flat,484,924,1,3.8182,4,42,14.6667,14.0,0.3333,0.00545551,-1,-1,11.51,
22,32,curved,484,924,1,3.8182,224,7,3.223,1.0,0.1429,0.10581509,440,440,11.51,
22,32,localrand,484,924,1,3.8182,9,29,10.8946,5.5,0.1897,0.00414439,361,361,11.51,
22,31,flat,484,924,1,3.8182,4,42,14.6667,15.0,0.3571,0.00545551,-1,-1,12.39,
22,31,curved,484,924,1,3.8182,134,9,3.8876,1.0,0.1111,0.07047413,424,424,12.39,
22,31,localrand,484,925,1,3.8223,9,29,11.4375,6.5,0.2241,0.00453583,344,343,12.39,
22,41,flat,484,924,1,3.8182,4,42,14.6667,16.0,0.381,0.00545551,-1,-1,11.73,
22,41,curved,484,925,1,3.8223,207,9,3.3911,2.0,0.2222,0.07592854,442,441,11.73,
22,41,localrand,484,925,1,3.8223,9,30,11.2797,6.0,0.2,0.00403174,356,355,11.73,
22,38,flat,484,924,1,3.8182,4,42,14.6667,14.0,0.3333,0.00545551,-1,-1,11.38,
22,38,curved,484,925,1,3.8223,95,10,4.0324,1.0,0.1,0.07085754,408,407,11.38,
22,38,localrand,484,925,1,3.8223,9,26,10.9451,6.5,0.25,0.00411399,356,355,11.38,
22,33,flat,484,924,1,3.8182,4,42,14.6667,13.0,0.3095,0.00545551,-1,-1,11.32,
22,33,curved,484,926,1,3.8264,117,9,3.8353,1.0,0.1111,0.07793632,414,412,11.32,
22,33,localrand,484,924,1,3.8182,10,28,12.0689,8.0,0.2857,0.00262448,371,371,11.32,
22,40,flat,484,924,1,3.8182,4,42,14.6667,16.0,0.381,0.00545551,-1,-1,14.38,
22,40,curved,484,924,1,3.8182,82,11,4.2049,1.5,0.1364,0.05339268,423,423,14.38,
22,40,localrand,484,924,1,3.8182,10,28,11.1978,6.0,0.2143,0.00478106,368,368,14.38,
22,37,flat,484,924,1,3.8182,4,42,14.6667,15.0,0.3571,0.00545551,-1,-1,12.76,
22,37,curved,484,924,1,3.8182,207,8,3.3746,1.0,0.125,0.08699856,440,440,12.76,
22,37,localrand,484,924,1,3.8182,12,26,11.1498,5.5,0.2115,0.0045463,359,359,12.76,
32,39,flat,1024,1984,1,3.875,4,62,21.3333,20.0,0.3226,0.00252477,-1,-1,46.64,
32,39,curved,1024,1988,1,3.8828,306,10,3.7581,1.0,0.1,0.0489236,892,888,46.64,
32,39,localrand,1024,1985,1,3.877,10,43,15.8912,10.0,0.2326,0.00194329,742,741,46.64,
32,34,flat,1024,1984,1,3.875,4,62,21.3333,20.0,0.3226,0.00252477,-1,-1,48.07,
32,34,curved,1024,1986,1,3.8789,272,10,4.0849,1.0,0.1,0.04441893,910,908,48.07,
32,34,localrand,1024,1984,1,3.875,10,39,15.7809,10.0,0.2564,0.00181508,762,762,48.07,
32,36,flat,1024,1984,1,3.875,4,62,21.3333,18.0,0.2903,0.00252477,-1,-1,52.86,
32,36,curved,1024,1988,1,3.8828,274,11,4.0813,1.0,0.0909,0.04495201,895,891,52.86,
32,36,localrand,1024,1986,1,3.8789,10,39,15.4862,9.5,0.2436,0.00184293,772,770,52.86,
32,33,flat,1024,1984,1,3.875,4,62,21.3333,20.0,0.3226,0.00252477,-1,-1,54.33,
32,33,curved,1024,1986,1,3.8789,333,10,3.8205,1.0,0.1,0.07036218,916,914,54.33,
32,33,localrand,1024,1984,1,3.875,10,43,15.7391,8.5,0.1977,0.00211914,751,751,54.33,
32,32,flat,1024,1984,1,3.875,4,62,21.3333,20.0,0.3226,0.00252477,-1,-1,55.68,
32,32,curved,1024,1987,1,3.8809,219,9,4.1003,1.0,0.1111,0.05674619,872,869,55.68,
32,32,localrand,1024,1984,1,3.875,11,40,15.6136,7.5,0.1875,0.00216362,745,745,55.68,
32,30,flat,1024,1984,1,3.875,4,62,21.3333,20.0,0.3226,0.00252477,-1,-1,57.6,
32,30,curved,1024,1988,1,3.8828,144,12,4.5058,1.5,0.125,0.04021476,885,881,57.6,
32,30,localrand,1024,1984,1,3.875,10,38,15.5686,7.5,0.1974,0.00195051,760,760,57.6,
32,35,flat,1024,1984,1,3.875,4,62,21.3333,20.0,0.3226,0.00252477,-1,-1,59.38,
32,35,curved,1024,1988,1,3.8828,325,11,4.0238,1.0,0.0909,0.04545386,915,911,59.38,
32,35,localrand,1024,1985,1,3.877,10,42,15.8904,10.5,0.25,0.00200364,782,781,59.38,
32,41,flat,1024,1984,1,3.875,4,62,21.3333,18.0,0.2903,0.00252477,-1,-1,60.76,
32,41,curved,1024,1987,1,3.8809,368,10,3.7408,0.5,0.05,0.0638305,930,927,60.76,
32,41,localrand,1024,1987,1,3.8809,11,38,15.8345,8.5,0.2237,0.00195574,756,753,60.76,
32,31,flat,1024,1984,1,3.875,4,62,21.3333,19.0,0.3065,0.00252477,-1,-1,63.97,
32,31,curved,1024,1987,1,3.8809,162,12,4.5118,2.0,0.1667,0.03494962,893,890,63.97,
32,31,localrand,1024,1986,1,3.8789,11,41,15.9059,8.0,0.1951,0.00188011,781,779,63.97,
32,37,flat,1024,1984,1,3.875,4,62,21.3333,19.0,0.3065,0.00252477,-1,-1,72.16,
32,37,curved,1024,1986,1,3.8789,361,10,3.799,1.0,0.1,0.05268372,940,938,72.16,
32,37,localrand,1024,1985,1,3.877,10,40,15.7555,10.5,0.2625,0.00217426,742,741,72.16,
32,38,flat,1024,1984,1,3.875,4,62,21.3333,19.0,0.3065,0.00252477,-1,-1,72.52,
32,38,curved,1024,1988,1,3.8828,268,10,4.0206,1.0,0.1,0.04829333,873,869,72.52,
32,38,localrand,1024,1985,1,3.877,10,38,15.4648,8.0,0.2105,0.00202881,771,770,72.52,
32,40,flat,1024,1984,1,3.875,4,62,21.3333,20.0,0.3226,0.00252477,-1,-1,72.06,
32,40,curved,1024,1985,1,3.877,203,11,4.3084,1.0,0.0909,0.04321748,898,897,72.06,
32,40,localrand,1024,1985,1,3.877,10,39,15.8687,9.5,0.2436,0.00208041,771,770,72.06,
64,31,flat,4096,8064,1,3.9375,4,126,42.6667,41.0,0.3254,0.00061665,-1,-1,1180.24,
64,31,curved,4096,8082,1,3.9463,505,12,4.664,1.0,0.0833,0.03318774,3573,3555,1180.24,
64,31,shuffled,4096,8082,1,3.9463,505,12,4.5775,1.5,0.125,0.05126925,-1,-1,1180.24,connected_double_edge_swap
64,31,rreg4,4096,8192,1,4.0,4,10,6.9163,3.0,0.3,0.13427406,-1,-1,1180.24,rreg4_try0
64,31,localrand,4096,8069,1,3.9399,14,76,29.0609,17.0,0.2237,0.00054678,3066,3061,1180.24,
64,33,flat,4096,8064,1,3.9375,4,126,42.6667,45.0,0.3571,0.00061665,-1,-1,1186.63,
64,33,curved,4096,8079,1,3.9448,720,13,4.4941,1.5,0.1154,0.04300972,3553,3538,1186.63,
64,33,shuffled,4096,8079,1,3.9448,720,11,4.3719,1.0,0.0909,0.06122928,-1,-1,1186.63,connected_double_edge_swap
64,33,rreg4,4096,8192,1,4.0,4,10,6.9178,3.0,0.3,0.13581145,-1,-1,1186.63,rreg4_try0
64,33,localrand,4096,8065,1,3.938,12,75,29.1832,16.5,0.22,0.00053674,3084,3083,1186.63,
64,38,flat,4096,8064,1,3.9375,4,126,42.6667,38.0,0.3016,0.00061665,-1,-1,1183.76,
64,38,curved,4096,8076,1,3.9434,481,13,4.8593,1.0,0.0769,0.0330963,3534,3522,1183.76,
64,38,shuffled,4096,8076,1,3.9434,481,12,4.6358,1.5,0.125,0.05570003,-1,-1,1183.76,connected_double_edge_swap
64,38,rreg4,4096,8192,1,4.0,4,10,6.9143,3.0,0.3,0.1362879,-1,-1,1183.76,rreg4_try0
64,38,localrand,4096,8067,1,3.939,12,79,29.7479,15.5,0.1962,0.00052382,3040,3037,1183.76,
64,39,flat,4096,8064,1,3.9375,4,126,42.6667,39.0,0.3095,0.00061665,-1,-1,1188.05,
64,39,curved,4096,8082,1,3.9463,400,13,4.666,1.0,0.0769,0.03297199,3585,3567,1188.05,
64,39,shuffled,4096,8082,1,3.9463,400,15,4.5188,1.5,0.1,0.02858668,-1,-1,1188.05,connected_double_edge_swap
64,39,rreg4,4096,8192,1,4.0,4,10,6.9159,3.0,0.3,0.13603342,-1,-1,1188.05,rreg4_try0
64,39,localrand,4096,8065,1,3.938,11,79,29.8221,18.5,0.2342,0.00051996,3104,3103,1188.05,
64,41,flat,4096,8064,1,3.9375,4,126,42.6667,40.0,0.3175,0.00061665,-1,-1,1206.4,
64,41,curved,4096,8079,1,3.9448,985,12,4.3058,1.0,0.0833,0.03912021,3702,3687,1206.4,
64,41,shuffled,4096,8079,1,3.9448,985,14,4.1704,1.0,0.0714,0.03030765,-1,-1,1206.4,connected_double_edge_swap
64,41,rreg4,4096,8192,1,4.0,4,10,6.9152,3.0,0.3,0.13594115,-1,-1,1206.4,rreg4_try0
