side,n,seed,family,algo,rounds_eps3,conv_eps3,rounds_eps6,conv_eps6,maxr,alpha,secs,max_deg,edges,cost3_load,cost6_load,note
15,225,34,flat,heat,846,1,1983,1,40000,0.5,0.085,4,420,3384,7932,
15,225,34,flat,pushsum,536,1,1261,1,40000,0.5,0.079,4,420,2144,5044,
15,225,34,flat,gossip,560,1,1322,1,40000,0.5,0.119,4,420,2240,5288,
15,225,34,curved,heat,75,1,179,1,40000,0.5,0.023,91,420,6825,16289,
15,225,34,curved,pushsum,66,1,149,1,40000,0.5,0.012,91,420,6006,13559,
15,225,34,curved,gossip,1238,1,3171,1,40000,0.5,0.224,91,420,112658,288561,
15,225,34,localrand,heat,1261,1,2964,1,40000,0.5,0.306,9,420,11349,26676,
15,225,34,localrand,pushsum,753,1,1842,1,40000,0.5,0.262,9,420,6777,16578,
15,225,34,localrand,gossip,969,1,2388,1,40000,0.5,0.32,9,420,8721,21492,
15,225,39,flat,heat,616,1,1753,1,40000,0.5,0.2,4,420,2464,7012,
15,225,39,flat,pushsum,371,1,1096,1,40000,0.5,0.107,4,420,1484,4384,
15,225,39,flat,gossip,386,1,1148,1,40000,0.5,0.086,4,420,1544,4592,
15,225,39,curved,heat,69,1,162,1,40000,0.5,0.029,88,421,6072,14256,
15,225,39,curved,pushsum,50,1,112,1,40000,0.5,0.015,88,421,4400,9856,
15,225,39,curved,gossip,617,1,1850,1,40000,0.5,0.135,88,421,54296,162800,
15,225,39,localrand,heat,742,1,2824,1,40000,0.5,0.283,9,420,6678,25416,
15,225,39,localrand,pushsum,669,1,2111,1,40000,0.5,0.293,9,420,6021,18999,
15,225,39,localrand,gossip,984,1,3035,1,40000,0.5,0.36,9,420,8856,27315,
15,225,30,flat,heat,689,1,1826,1,40000,0.5,0.104,4,420,2756,7304,
15,225,30,flat,pushsum,407,1,1132,1,40000,0.5,0.028,4,420,1628,4528,
15,225,30,flat,gossip,420,1,1182,1,40000,0.5,0.031,4,420,1680,4728,
15,225,30,curved,heat,89,1,203,1,40000,0.5,0.036,110,421,9790,22330,
15,225,30,curved,pushsum,68,1,149,1,40000,0.5,0.019,110,421,7480,16390,
15,225,30,curved,gossip,1668,1,3992,1,40000,0.5,0.317,110,421,183480,439120,
15,225,30,localrand,heat,784,1,2244,1,40000,0.5,0.221,8,420,6272,17952,
15,225,30,localrand,pushsum,603,1,1563,1,40000,0.5,0.087,8,420,4824,12504,
15,225,30,localrand,gossip,816,1,2124,1,40000,0.5,0.066,8,420,6528,16992,
15,225,33,flat,heat,670,1,1807,1,40000,0.5,0.144,4,420,2680,7228,
15,225,33,flat,pushsum,431,1,1156,1,40000,0.5,0.087,4,420,1724,4624,
15,225,33,flat,gossip,451,1,1212,1,40000,0.5,0.065,4,420,1804,4848,
15,225,33,curved,heat,88,1,216,1,40000,0.5,0.034,54,420,4752,11664,
15,225,33,curved,pushsum,79,1,183,1,40000,0.5,0.025,54,420,4266,9882,
15,225,33,curved,gossip,493,1,1259,1,40000,0.5,0.097,54,420,26622,67986,
15,225,33,localrand,heat,867,1,2628,1,40000,0.5,0.278,9,420,7803,23652,
15,225,33,localrand,pushsum,587,1,1629,1,40000,0.5,0.121,9,420,5283,14661,
15,225,33,localrand,gossip,787,1,2171,1,40000,0.5,0.112,9,420,7083,19539,
15,225,32,flat,heat,656,1,1793,1,40000,0.5,0.109,4,420,2624,7172,
15,225,32,flat,pushsum,440,1,1165,1,40000,0.5,0.091,4,420,1760,4660,
15,225,32,flat,gossip,460,1,1222,1,40000,0.5,0.083,4,420,1840,4888,
