side,seed,family,nodes,edges,connected,mean_deg,max_deg,diam,mean_path_len,gromov_delta_max,delta_over_diam,lambda2_norm,build_secs,note
15,30,flat,225,420,1,3.7333,4,28,10.0,11.0,0.3929,0.01210832,1.3,
15,30,curved,225,421,1,3.7422,110,7,3.0908,1.0,0.1429,0.11719496,1.3,
15,30,shuffled,225,421,1,3.7422,110,7,3.1054,1.0,0.1429,0.1334437,1.3,connected_double_edge_swap
15,30,rreg4,225,450,1,4.0,4,7,4.261,2.5,0.3571,0.15798871,1.3,rreg4_try0
15,31,flat,225,420,1,3.7333,4,28,10.0,9.0,0.3214,0.01210832,1.36,
15,31,curved,225,420,1,3.7333,91,8,3.3808,1.0,0.125,0.0943329,1.36,
15,31,shuffled,225,420,1,3.7333,91,7,3.3137,1.0,0.1429,0.14009219,1.36,connected_double_edge_swap
15,31,rreg4,225,450,1,4.0,4,7,4.2485,2.5,0.3571,0.14539144,1.36,rreg4_try0
15,32,flat,225,420,1,3.7333,4,28,10.0,9.0,0.3214,0.01210832,1.28,
15,32,curved,225,420,1,3.7333,58,9,3.7402,1.5,0.1667,0.11760754,1.28,
15,32,shuffled,225,420,1,3.7333,58,10,3.6317,1.5,0.15,0.06567397,1.28,connected_double_edge_swap
15,32,rreg4,225,450,1,4.0,4,7,4.332,2.5,0.3571,0.13733281,1.28,rreg4_try0
15,33,flat,225,420,1,3.7333,4,28,10.0,11.0,0.3929,0.01210832,1.28,
15,33,curved,225,420,1,3.7333,54,8,3.6242,1.5,0.1875,0.10458887,1.28,
15,33,shuffled,225,420,1,3.7333,54,9,3.6053,1.5,0.1667,0.09651916,1.28,connected_double_edge_swap
15,33,rreg4,225,450,1,4.0,4,7,4.3347,2.5,0.3571,0.13245994,1.28,rreg4_try0
15,34,flat,225,420,1,3.7333,4,28,10.0,9.0,0.3214,0.01210832,1.37,
15,34,curved,225,420,1,3.7333,91,7,3.2967,1.0,0.1429,0.12001283,1.37,
15,34,shuffled,225,420,1,3.7333,91,7,3.2516,1.5,0.2143,0.16040746,1.37,connected_double_edge_swap
15,34,rreg4,225,450,1,4.0,4,7,4.2627,2.5,0.3571,0.15718426,1.37,rreg4_try0
15,35,flat,225,420,1,3.7333,4,28,10.0,10.0,0.3571,0.01210832,1.63,
15,35,curved,225,421,1,3.7422,118,7,3.0689,1.0,0.1429,0.12936908,1.63,
15,35,shuffled,225,421,1,3.7422,118,9,3.0499,1.5,0.1667,0.07438514,1.63,connected_double_edge_swap
15,35,rreg4,225,450,1,4.0,4,7,4.2754,2.5,0.3571,0.15039158,1.63,rreg4_try0
15,36,flat,225,420,1,3.7333,4,28,10.0,12.0,0.4286,0.01210832,1.38,
15,36,curved,225,420,1,3.7333,101,7,3.1879,1.0,0.1429,0.13025459,1.38,
15,36,shuffled,225,420,1,3.7333,101,8,3.1989,1.0,0.125,0.13496226,1.38,connected_double_edge_swap
15,36,rreg4,225,450,1,4.0,4,7,4.2824,2.5,0.3571,0.14856941,1.38,rreg4_try0
15,37,flat,225,420,1,3.7333,4,28,10.0,10.0,0.3571,0.01210832,1.38,
15,37,curved,225,420,1,3.7333,115,6,3.0408,1.0,0.1667,0.12158305,1.38,
15,37,shuffled,225,420,1,3.7333,115,8,3.1212,1.5,0.1875,0.1080267,1.38,connected_double_edge_swap
15,37,rreg4,225,450,1,4.0,4,7,4.2952,2.5,0.3571,0.13278876,1.38,rreg4_try0
15,38,flat,225,420,1,3.7333,4,28,10.0,8.0,0.2857,0.01210832,1.31,
15,38,curved,225,421,1,3.7422,84,8,3.3161,1.0,0.125,0.1151536,1.31,
15,38,shuffled,225,421,1,3.7422,84,8,3.2981,1.5,0.1875,0.13018647,1.31,connected_double_edge_swap
15,38,rreg4,225,450,1,4.0,4,7,4.278,2.5,0.3571,0.14109928,1.31,rreg4_try0
15,39,flat,225,420,1,3.7333,4,28,10.0,10.0,0.3571,0.01210832,1.25,
15,39,curved,225,421,1,3.7422,88,7,3.1858,1.0,0.1429,0.13360332,1.25,
15,39,shuffled,225,421,1,3.7422,88,7,3.2556,1.5,0.2143,0.13423132,1.25,connected_double_edge_swap
15,39,rreg4,225,450,1,4.0,4,7,4.277,2.5,0.3571,0.13978708,1.25,rreg4_try0
15,40,flat,225,420,1,3.7333,4,28,10.0,9.0,0.3214,0.01210832,1.32,
15,40,curved,225,421,1,3.7422,58,9,3.8408,1.0,0.1111,0.05821095,1.32,
15,40,shuffled,225,421,1,3.7422,58,8,3.6279,1.5,0.1875,0.12338309,1.32,connected_double_edge_swap
15,40,rreg4,225,450,1,4.0,4,7,4.2981,2.5,0.3571,0.14657299,1.32,rreg4_try0
15,41,flat,225,420,1,3.7333,4,28,10.0,10.0,0.3571,0.01210832,1.11,
15,41,curved,225,420,1,3.7333,122,6,2.9434,1.0,0.1667,0.12920129,1.11,
15,41,shuffled,225,420,1,3.7333,122,8,3.0209,1.0,0.125,0.10405055,1.11,connected_double_edge_swap
15,41,rreg4,225,450,1,4.0,4,7,4.2933,2.5,0.3571,0.14691947,1.11,rreg4_try0
22,30,flat,484,924,1,3.8182,4,42,14.6667,14.0,0.3333,0.00545551,5.11,
22,30,curved,484,924,1,3.8182,127,8,3.7089,1.0,0.125,0.0874065,5.11,
22,30,shuffled,484,924,1,3.8182,127,9,3.6593,1.5,0.1667,0.09700694,5.11,connected_double_edge_swap
22,30,rreg4,484,968,1,4.0,4,8,4.976,2.5,0.3125,0.14285677,5.11,rreg4_try0
22,31,flat,484,924,1,3.8182,4,42,14.6667,15.0,0.3571,0.00545551,6.45,
22,31,curved,484,924,1,3.8182,134,9,3.8876,1.0,0.1111,0.07047413,6.45,
22,31,shuffled,484,924,1,3.8182,134,10,3.7726,1.5,0.15,0.08730438,6.45,connected_double_edge_swap
22,31,rreg4,484,968,1,4.0,4,8,4.9751,2.5,0.3125,0.13970813,6.45,rreg4_try0
22,32,flat,484,924,1,3.8182,4,42,14.6667,14.0,0.3333,0.00545551,6.15,
22,32,curved,484,924,1,3.8182,224,7,3.223,1.0,0.1429,0.10581509,6.15,
