side,n,seed,family,algo,rounds_eps3,conv_eps3,rounds_eps6,conv_eps6,maxr,alpha,secs,note
15,225,30,flat,heat,689,1,1826,1,40000,0.5,0.067,
15,225,30,flat,pushsum,407,1,1132,1,40000,0.5,0.02,
15,225,30,flat,gossip,420,1,1182,1,40000,0.5,0.016,
15,225,30,curved,heat,89,1,203,1,40000,0.5,0.004,
15,225,30,curved,pushsum,68,1,149,1,40000,0.5,0.004,
15,225,30,curved,gossip,1668,1,3992,1,40000,0.5,0.1,
15,225,30,shuffled,heat,70,1,169,1,40000,0.5,0.007,connected_double_edge_swap
15,225,30,shuffled,pushsum,64,1,147,1,40000,0.5,0.008,connected_double_edge_swap
15,225,30,shuffled,gossip,1591,1,3914,1,40000,0.5,0.09,connected_double_edge_swap
15,225,30,rreg4,heat,59,1,139,1,40000,0.5,0.006,rreg4_try0
15,225,30,rreg4,pushsum,36,1,85,1,40000,0.5,0.002,rreg4_try0
15,225,30,rreg4,gossip,36,1,85,1,40000,0.5,0.002,rreg4_try0
15,225,31,flat,heat,573,1,1710,1,40000,0.5,0.034,
15,225,31,flat,pushsum,407,1,1132,1,40000,0.5,0.034,
15,225,31,flat,gossip,424,1,1186,1,40000,0.5,0.017,
15,225,31,curved,heat,87,1,228,1,40000,0.5,0.004,
15,225,31,curved,pushsum,68,1,181,1,40000,0.5,0.004,
15,225,31,curved,gossip,1000,1,2881,1,40000,0.5,0.036,
15,225,31,shuffled,heat,62,1,145,1,40000,0.5,0.006,connected_double_edge_swap
15,225,31,shuffled,pushsum,53,1,120,1,40000,0.5,0.002,connected_double_edge_swap
15,225,31,shuffled,gossip,1276,1,3195,1,40000,0.5,0.082,connected_double_edge_swap
15,225,31,rreg4,heat,61,1,151,1,40000,0.5,0.006,rreg4_try0
15,225,31,rreg4,pushsum,37,1,92,1,40000,0.5,0.002,rreg4_try0
15,225,31,rreg4,gossip,37,1,92,1,40000,0.5,0.002,rreg4_try0
15,225,32,flat,heat,656,1,1793,1,40000,0.5,0.032,
15,225,32,flat,pushsum,440,1,1165,1,40000,0.5,0.021,
15,225,32,flat,gossip,460,1,1222,1,40000,0.5,0.019,
15,225,32,curved,heat,80,1,186,1,40000,0.5,0.004,
15,225,32,curved,pushsum,63,1,143,1,40000,0.5,0.003,
15,225,32,curved,gossip,661,1,1540,1,40000,0.5,0.021,
15,225,32,shuffled,heat,137,1,344,1,40000,0.5,0.007,connected_double_edge_swap
15,225,32,shuffled,pushsum,129,1,294,1,40000,0.5,0.005,connected_double_edge_swap
15,225,32,shuffled,gossip,284,1,690,1,40000,0.5,0.015,connected_double_edge_swap
15,225,32,rreg4,heat,61,1,155,1,40000,0.5,0.004,rreg4_try0
15,225,32,rreg4,pushsum,37,1,95,1,40000,0.5,0.002,rreg4_try0
15,225,32,rreg4,gossip,37,1,95,1,40000,0.5,0.002,rreg4_try0
15,225,33,flat,heat,670,1,1807,1,40000,0.5,0.036,
15,225,33,flat,pushsum,431,1,1156,1,40000,0.5,0.023,
15,225,33,flat,gossip,451,1,1212,1,40000,0.5,0.02,
15,225,33,curved,heat,88,1,216,1,40000,0.5,0.005,
15,225,33,curved,pushsum,79,1,183,1,40000,0.5,0.004,
15,225,33,curved,gossip,493,1,1259,1,40000,0.5,0.02,
15,225,33,shuffled,heat,97,1,235,1,40000,0.5,0.005,connected_double_edge_swap
15,225,33,shuffled,pushsum,82,1,192,1,40000,0.5,0.003,connected_double_edge_swap
15,225,33,shuffled,gossip,511,1,1288,1,40000,0.5,0.02,connected_double_edge_swap
15,225,33,rreg4,heat,51,1,144,1,40000,0.5,0.003,rreg4_try0
15,225,33,rreg4,pushsum,31,1,89,1,40000,0.5,0.002,rreg4_try0
15,225,33,rreg4,gossip,31,1,89,1,40000,0.5,0.003,rreg4_try0
15,225,34,flat,heat,846,1,1983,1,40000,0.5,0.043,
15,225,34,flat,pushsum,536,1,1261,1,40000,0.5,0.027,
15,225,34,flat,gossip,560,1,1322,1,40000,0.5,0.023,
15,225,34,curved,heat,75,1,179,1,40000,0.5,0.004,
15,225,34,curved,pushsum,66,1,149,1,40000,0.5,0.004,
15,225,34,curved,gossip,1238,1,3171,1,40000,0.5,0.052,
15,225,34,shuffled,heat,50,1,122,1,40000,0.5,0.003,connected_double_edge_swap
15,225,34,shuffled,pushsum,42,1,97,1,40000,0.5,0.002,connected_double_edge_swap
15,225,34,shuffled,gossip,853,1,2136,1,40000,0.5,0.029,connected_double_edge_swap
15,225,34,rreg4,heat,60,1,142,1,40000,0.5,0.004,rreg4_try0
15,225,34,rreg4,pushsum,37,1,87,1,40000,0.5,0.002,rreg4_try0
15,225,34,rreg4,gossip,37,1,87,1,40000,0.5,0.002,rreg4_try0
15,225,35,flat,heat,744,1,1882,1,40000,0.5,0.043,
15,225,35,flat,pushsum,482,1,1207,1,40000,0.5,0.023,
15,225,35,flat,gossip,504,1,1266,1,40000,0.5,0.022,
15,225,35,curved,heat,67,1,165,1,40000,0.5,0.004,
